label,model_name,best_epoch,best_val_score,avg_mape,avg_mae,avg_rmse
stgcn,stgcn,17,2.9056398418171234,0.07413604804285245,2.9429743624499984,5.521647671997267
gat,gat,19,3.246191206191154,0.07813284944143337,3.2680146000243124,6.136987100207051
graphsage,graphsage,20,3.2189523220601592,0.0837242938517182,3.236370020593354,6.013801670391531
temporal_mlp,temporal_mlp,8,3.296741784067789,0.07965285740772286,3.3052136030200754,6.253731045867073
lstm,lstm,8,3.318576856686423,0.08028940368765765,3.324441432386339,6.228954418878421
