label,model_name,best_epoch,best_val_score,avg_mape,avg_mae,avg_rmse
stgcn,stgcn,17,2.9056398418171234,0.06630085318965195,2.6614703553346297,4.9503931598571596
gat,gat,19,3.246191206191154,0.06926392888092235,2.9177524598414664,5.442534104249034
graphsage,graphsage,20,3.2189523220601592,0.0739447025687349,2.8959586831343263,5.350287372686436
temporal_mlp,temporal_mlp,8,3.296741784067789,0.07057966118217766,2.95247289212524,5.553632021571951
lstm,lstm,8,3.318576856686423,0.0710248058272558,2.968712150300204,5.539527101755694
